feature,tipo,psi,test,estadistico,p_valor,significativo,nivel,ref_mediana,act_mediana,ref_pct_nulos,act_pct_nulos
huella_consulta,numerica,2.0249448821009493,KS,0.4972834582770062,6.62e-321,True,critico,4.0,7.0,0.0,0.0
puntaje_datacredito,numerica,0.7678788676095489,KS,0.3461777002618377,1.6747003298707475e-171,True,critico,791.0,744.2296692580247,0.0006144770800049158,0.0005
tendencia_ingresos,categorica,0.7146174693182307,chi2,1400.9202291587903,1.859918374437094e-303,True,critico,Creciente,Decreciente,0.0,0.0
salario_cliente,numerica,0.23944732718874726,KS,0.18944352955634758,7.192402689435774e-51,True,alerta,3000000.0,2365611.5,0.0,0.0
edad_cliente,numerica,0.2377489910932324,KS,0.17825476219737008,4.693924146415401e-45,True,alerta,42.0,36.0,0.0,0.0
promedio_ingresos_datacredito,numerica,0.00687956554346977,KS,0.015404356615250525,0.9368668216328907,False,ok,1187852.0,1185375.5,0.27540862725820325,0.261
capital_prestado,numerica,0.005774376623739128,KS,0.016162959321617293,0.7881808553813364,False,ok,1902000.0,1897945.2,0.0,0.0
creditos_sectorFinanciero,numerica,0.004933640868770062,KS,0.015283765515546333,0.8406743448195118,False,ok,2.0,2.0,0.0,0.0
saldo_principal,numerica,0.004209902516095944,KS,0.016119094799593725,0.8081103076728707,False,ok,14310.0,14221.0,0.037360206464298884,0.034
cant_creditosvigentes,numerica,0.0032095765903121395,KS,0.00877633034287817,0.999573219065381,False,ok,5.0,5.0,0.0,0.0
total_otros_prestamos,numerica,0.0023869450946285464,KS,0.019769939781246193,0.5490370494586067,False,ok,1000000.0,1000000.0,0.0,0.0
plazo_meses,numerica,0.002116516990637894,KS,0.01203791323583625,0.9715666651869864,False,ok,10.0,10.0,0.0,0.0
saldo_total,numerica,0.001765421447336428,KS,0.012299787642651494,0.9673116595293967,False,ok,16193.0,16123.0,0.015239031584121912,0.012
cuota_pactada,numerica,0.0016828111944889534,KS,0.014344660194174907,0.890083043476889,False,ok,183354.0,181900.5,0.0,0.0
tipo_laboral,categorica,0.0010862574181429979,chi2,1.6677904590989971,0.19655474578289864,False,ok,Empleado,Empleado,0.0,0.0
creditos_sectorReal,numerica,0.0010233467788084386,KS,0.00817223792552535,0.9998943707709689,False,ok,1.0,1.0,0.0,0.0
tipo_credito,categorica,0.0002169161878125882,chi2,0.6470413815508134,0.9857482751099942,False,ok,4,4,0.0,0.0
creditos_sectorCooperativo,numerica,0.00012212281761580872,KS,0.004183790094629436,1.0,False,ok,0.0,0.0,0.0,0.0
saldo_mora,numerica,0.0,KS,0.0013305807213076504,1.0,False,ok,0.0,0.0,0.015239031584121912,0.012
saldo_mora_codeudor,numerica,0.0,KS,0.0002602133749675106,1.0,False,ok,0.0,0.0,0.055425832616443405,0.0535
