feature,tipo,psi,test,estadistico,p_valor,significativo,nivel,ref_mediana,act_mediana,ref_pct_nulos,act_pct_nulos
promedio_ingresos_datacredito,numerica,0.5830765977239085,KS,0.2687977371429486,1.1350590858696536e-35,True,critico,1165583.0,1424803.0,0.27956718671363867,0.2593939393939394
total_otros_prestamos,numerica,0.22299642965500857,KS,0.17033978435588903,2.010056794296522e-19,True,alerta,1000000.0,739000.0,0.0,0.0
capital_prestado,numerica,0.14572140408996292,KS,0.16848850863948994,5.197031520191421e-19,True,alerta,1869251.4,2494800.0,0.0,0.0
salario_cliente,numerica,0.1432247537049772,KS,0.11357749614921231,7.430239414871233e-09,True,alerta,3000000.0,3120000.0,0.0,0.0
cuota_pactada,numerica,0.058120457073864276,KS,0.10401579966753594,1.7019938405300975e-07,True,ok,180814.5,200924.0,0.0,0.0
tipo_laboral,categorica,0.04839997660704574,chi2,33.65290244751966,6.587651074582469e-09,True,ok,Empleado,Empleado,0.0,0.0
edad_cliente,numerica,0.04450193161546259,KS,0.08582955879885923,3.060441187407515e-05,True,ok,42.0,39.0,0.0,0.0
huella_consulta,numerica,0.0414228198412288,KS,0.06116789434353603,0.00710633095583499,True,ok,4.0,3.0,0.0,0.0
plazo_meses,numerica,0.03436763902103268,KS,0.17335590428695613,4.179960370838266e-20,True,ok,10.0,10.0,0.0,0.0
saldo_principal,numerica,0.02231877267146398,KS,0.03960213118466682,0.20591629597946584,False,ok,14411.5,13878.0,0.03673880221439356,0.04363636363636364
puntaje_datacredito,numerica,0.0196733505308659,KS,0.04331570553177202,0.1172881656746634,False,ok,791.0,787.0,0.000754906894816306,0.0
saldo_total,numerica,0.015578987711483356,KS,0.0390148663699556,0.20679210240732787,False,ok,16193.0,14795.0,0.014469048817312532,0.01575757575757576
tendencia_ingresos,categorica,0.008267796140205761,chi2,6.2872069099011885,0.09844307634320282,False,ok,Creciente,Creciente,0.0,0.0
cant_creditosvigentes,numerica,0.007904944661211702,KS,0.018207591770752263,0.9611631708446938,False,ok,5.0,5.0,0.0,0.0
creditos_sectorFinanciero,numerica,0.006214085661142647,KS,0.028744414451510547,0.556574870539933,False,ok,2.0,2.0,0.0,0.0
creditos_sectorCooperativo,numerica,0.002656967527754384,KS,0.02001311555413221,0.91913205402261,False,ok,0.0,0.0,0.0,0.0
tipo_credito,categorica,0.0011771607189041769,chi2,1.0289306698088472,0.9601987245213508,False,ok,4,4,0.0,0.0
creditos_sectorReal,numerica,0.0006302704997544912,KS,0.011163319150234163,0.9999756782314664,False,ok,1.0,1.0,0.0,0.0
saldo_mora,numerica,0.0,KS,0.004896393243439601,1.0,False,ok,0.0,0.0,0.014469048817312532,0.01575757575757576
saldo_mora_codeudor,numerica,0.0,KS,0.00039952057530967533,1.0,False,ok,0.0,0.0,0.055234021137393056,0.04727272727272727
